base_layer,distilled_layer,cka
12,16,0.912443220615387
12,17,0.9061586856842041
12,18,0.8924686908721924
12,19,0.8745927214622498
12,20,0.8463121652603149
12,21,0.8267806172370911
12,22,0.8108886480331421
12,23,0.795932412147522
12,24,0.7896472811698914
12,25,0.7960326075553894
12,26,0.7966268062591553
12,27,0.8017748594284058
12,28,0.7562974095344543
13,0,0.7497903108596802
13,1,0.7718580961227417
13,2,0.7955986261367798
13,3,0.8704524040222168
13,4,0.8709745407104492
13,5,0.8931568264961243
13,6,0.8954941034317017
13,7,0.9018585681915283
13,8,0.9117186069488525
13,9,0.9157326817512512
13,10,0.9281677603721619
13,11,0.9297491908073425
13,12,0.9362861514091492
13,13,0.9401477575302124
13,14,0.9293988347053528
13,15,0.9251481294631958
13,16,0.9148114323616028
13,17,0.9110169410705566
13,18,0.8979064226150513
13,19,0.8808196187019348
13,20,0.8544415831565857
13,21,0.8342839479446411
13,22,0.8177241683006287
13,23,0.8035637736320496
13,24,0.7972337007522583
13,25,0.8037564158439636
13,26,0.8047192096710205
13,27,0.8088662028312683
13,28,0.752659797668457
14,0,0.7305314540863037
14,1,0.749046802520752
14,2,0.7800713181495667
14,3,0.8535622358322144
14,4,0.856103241443634
14,5,0.8755903840065002
14,6,0.8772174119949341
14,7,0.8843185901641846
14,8,0.8985308408737183
14,9,0.9041269421577454
14,10,0.9210630655288696
14,11,0.9247623085975647
14,12,0.9340531229972839
14,13,0.9364963173866272
14,14,0.939194917678833
14,15,0.9319702982902527
14,16,0.9263438582420349
14,17,0.919467568397522
14,18,0.9051316976547241
14,19,0.8907162547111511
14,20,0.856333315372467
14,21,0.8328161835670471
14,22,0.8137675523757935
14,23,0.7981768250465393
14,24,0.7907869219779968
14,25,0.7986581921577454
14,26,0.7982332110404968
14,27,0.8014606237411499
14,28,0.7348158359527588
15,0,0.7309139370918274
15,1,0.7421302199363708
15,2,0.7658252120018005
15,3,0.8481141328811646
15,4,0.8507438898086548
15,5,0.8721594214439392
15,6,0.8762674927711487
15,7,0.8809782266616821
15,8,0.891340434551239
15,9,0.8984439969062805
15,10,0.9143720269203186
15,11,0.9197726845741272
15,12,0.928165853023529
15,13,0.9333921074867249
15,14,0.9331867694854736
15,15,0.9359826445579529
15,16,0.9295100569725037
15,17,0.9239868521690369
15,18,0.911264955997467
15,19,0.8965184688568115
15,20,0.8678808212280273
15,21,0.8421049118041992
15,22,0.824557900428772
15,23,0.8079211115837097
15,24,0.7991459965705872
15,25,0.8071233034133911
15,26,0.8063333034515381
15,27,0.8113375306129456
15,28,0.7476335167884827
16,0,0.7065140604972839
16,1,0.7073670029640198
16,2,0.7322617769241333
16,3,0.8165170550346375
16,4,0.8209817409515381
16,5,0.8456754088401794
16,6,0.849096953868866
16,7,0.852509617805481
16,8,0.8642230033874512
16,9,0.8710508346557617
16,10,0.8932874202728271
16,11,0.9001122713088989
16,12,0.9130181074142456
16,13,0.9173480272293091
16,14,0.9236608743667603
16,15,0.9261938333511353
16,16,0.9320427775382996
16,17,0.9244075417518616
16,18,0.9117674827575684
16,19,0.8985422849655151
16,20,0.8663876056671143
16,21,0.8395861387252808
16,22,0.8213918805122375
16,23,0.8035680055618286
16,24,0.7934246063232422
16,25,0.8023263216018677
16,26,0.8003455996513367
16,27,0.8050012588500977
16,28,0.7337419986724854
17,0,0.7195683717727661
17,1,0.7099369168281555
17,2,0.7273163795471191
17,3,0.809090256690979
17,4,0.809163510799408
17,5,0.8422739505767822
17,6,0.8452141880989075
17,7,0.8484193682670593
17,8,0.8577430844306946
17,9,0.8638037443161011
17,10,0.8817154765129089
17,11,0.8880670666694641
17,12,0.9002161026000977
17,13,0.9074910879135132
17,14,0.9082673788070679
17,15,0.9136279225349426
17,16,0.9162163734436035
17,17,0.9198927879333496
17,18,0.9091873168945312
17,19,0.8973450064659119
17,20,0.8735665678977966
17,21,0.8486746549606323
17,22,0.8311446905136108
17,23,0.8164072036743164
17,24,0.8065353035926819
17,25,0.8137921094894409
17,26,0.8129770159721375
17,27,0.8170010447502136
17,28,0.7424750328063965
18,0,0.7221798300743103
18,1,0.7057583928108215
18,2,0.7181071639060974
18,3,0.8041678667068481
18,4,0.8049870133399963
18,5,0.8426500558853149
18,6,0.8456732630729675
18,7,0.8475672006607056
18,8,0.8539403676986694
18,9,0.8589069247245789
18,10,0.8770681619644165
18,11,0.8842493295669556
18,12,0.8975188732147217
18,13,0.9044265151023865
18,14,0.9052800536155701
18,15,0.9112635254859924
18,16,0.9159818887710571
18,17,0.920475959777832
18,18,0.9213007092475891
18,19,0.9097630381584167
18,20,0.8899219632148743
18,21,0.8693615794181824
18,22,0.8545575141906738
18,23,0.83763188123703
18,24,0.8279587626457214
18,25,0.8351070880889893
18,26,0.8332061171531677
18,27,0.83846116065979
18,28,0.7648922204971313
19,0,0.7018123269081116
19,1,0.6898548603057861
19,2,0.7062625885009766
19,3,0.7864517569541931
19,4,0.7869716882705688
19,5,0.8200640678405762
19,6,0.8229867219924927
19,7,0.8253186345100403
19,8,0.8330531120300293
19,9,0.8384165167808533
19,10,0.8553695678710938
19,11,0.8630280494689941
19,12,0.876984179019928
19,13,0.8842257261276245
19,14,0.8881365656852722
19,15,0.8926166892051697
19,16,0.8980790376663208
19,17,0.9028809070587158
19,18,0.9048779606819153
19,19,0.9009963274002075
19,20,0.8773201704025269
19,21,0.853260338306427
19,22,0.8380866646766663
19,23,0.8204779624938965
19,24,0.8099364638328552
19,25,0.8186571598052979
19,26,0.8162679076194763
19,27,0.8210100531578064
19,28,0.738917887210846
20,0,0.7078564167022705
20,1,0.6794496774673462
20,2,0.6839544773101807
20,3,0.7741745114326477
20,4,0.7711052894592285
20,5,0.8139529228210449
20,6,0.819064736366272
20,7,0.8187568783760071
20,8,0.8209869861602783
20,9,0.8280055522918701
20,10,0.8399322628974915
20,11,0.847772479057312
20,12,0.8597102165222168
20,13,0.8706808090209961
20,14,0.8669102191925049
20,15,0.8788154721260071
20,16,0.8802328705787659
20,17,0.8900521397590637
20,18,0.8972451686859131
20,19,0.8933396935462952
20,20,0.8959078788757324
20,21,0.8747092485427856
20,22,0.8655357956886292
20,23,0.8486629724502563
20,24,0.8373766541481018
20,25,0.8440275192260742
20,26,0.842083752155304
20,27,0.8480711579322815
20,28,0.7610799074172974
21,0,0.7060278058052063
21,1,0.6704501509666443
21,2,0.6694334149360657
21,3,0.7599009871482849
21,4,0.7557888627052307
21,5,0.8046351075172424
21,6,0.8078610301017761
21,7,0.8055342435836792
21,8,0.8055197596549988
21,9,0.8105474710464478
21,10,0.8212748169898987
21,11,0.8289466500282288
21,12,0.8409897089004517
21,13,0.8521243929862976
21,14,0.8444560170173645
21,15,0.8563491106033325
21,16,0.8573516011238098
21,17,0.8702099323272705
21,18,0.8791868686676025
21,19,0.8751296997070312
21,20,0.8845268487930298
21,21,0.8752046823501587
21,22,0.8683881759643555
21,23,0.8528041243553162
21,24,0.8426960110664368
21,25,0.848930835723877
21,26,0.8477157950401306
21,27,0.8535475134849548
21,28,0.7641040682792664
22,0,0.682796835899353
22,1,0.6450566649436951
22,2,0.6419159770011902
22,3,0.7391226291656494
22,4,0.7383043169975281
22,5,0.7807139158248901
22,6,0.7855863571166992
22,7,0.779949963092804
22,8,0.7777350544929504
22,9,0.7845737934112549
22,10,0.7922913432121277
22,11,0.8000406622886658
22,12,0.8100525736808777
22,13,0.8220446705818176
22,14,0.8122742176055908
22,15,0.8280012607574463
22,16,0.8287280797958374
22,17,0.840971052646637
22,18,0.8536689281463623
22,19,0.8500022888183594
22,20,0.8660498261451721
22,21,0.8574252724647522
22,22,0.8610820770263672
22,23,0.8406179547309875
22,24,0.8280611038208008
22,25,0.8365961313247681
22,26,0.8349902629852295
22,27,0.8438581228256226
22,28,0.7534389495849609
23,0,0.6944950222969055
23,1,0.6465944647789001
23,2,0.6395648121833801
23,3,0.7340349555015564
23,4,0.7283193469047546
23,5,0.7810246348381042
23,6,0.7836030721664429
23,7,0.778775155544281
23,8,0.7769235968589783
23,9,0.7816174626350403
23,10,0.7893550395965576
23,11,0.7951304316520691
23,12,0.8074066638946533
23,13,0.8205407857894897
23,14,0.8085440993309021
23,15,0.8224206566810608
23,16,0.8220832347869873
23,17,0.8372018337249756
23,18,0.8499129414558411
23,19,0.8474852442741394
23,20,0.8682330846786499
23,21,0.8647502660751343
23,22,0.866331934928894
23,23,0.8546044826507568
23,24,0.8443781137466431
23,25,0.8507696986198425
23,26,0.8504737019538879
23,27,0.8567659854888916
23,28,0.7592498064041138
24,0,0.6841086745262146
24,1,0.6381742358207703
24,2,0.6304114460945129
24,3,0.7219138741493225
24,4,0.7148079872131348
24,5,0.7677844762802124
24,6,0.7694042325019836
24,7,0.7655125260353088
24,8,0.7634232044219971
24,9,0.7670354843139648
24,10,0.7741250991821289
24,11,0.7795491218566895
24,12,0.7910842299461365
24,13,0.8044863939285278
24,14,0.7911037802696228
24,15,0.8037122488021851
24,16,0.8018925189971924
24,17,0.8177889585494995
24,18,0.8293085098266602
24,19,0.8266608119010925
24,20,0.8471605181694031
24,21,0.846002459526062
24,22,0.8460339307785034
24,23,0.8360325694084167
24,24,0.8283474445343018
24,25,0.8344164490699768
24,26,0.8357110023498535
24,27,0.8412473201751709
24,28,0.7468073964118958
25,0,0.6543881893157959
25,1,0.614730954170227
25,2,0.6130732297897339
25,3,0.70998215675354
25,4,0.7067492008209229
25,5,0.7504394054412842
25,6,0.7518567442893982
25,7,0.7462752461433411
25,8,0.7452417612075806
25,9,0.750147819519043
25,10,0.7589694857597351
25,11,0.7643121480941772
25,12,0.776218056678772
25,13,0.7887605428695679
25,14,0.7787427306175232
25,15,0.7909489870071411
25,16,0.7919254302978516
25,17,0.8047917485237122
25,18,0.8159629106521606
25,19,0.8136783242225647
25,20,0.8285118937492371
25,21,0.8241620063781738
25,22,0.8244729042053223
25,23,0.8114644885063171
25,24,0.8024065494537354
25,25,0.8131223320960999
25,26,0.8129443526268005
25,27,0.8197017908096313
25,28,0.7188026309013367
26,0,0.6423416137695312
26,1,0.6122857928276062
26,2,0.6116564273834229
26,3,0.7074534296989441
26,4,0.7044038772583008
26,5,0.7422826290130615
26,6,0.7449977993965149
26,7,0.7396686673164368
26,8,0.7375670075416565
26,9,0.742520809173584
26,10,0.7496747374534607
26,11,0.7555850148200989
26,12,0.7660344243049622
26,13,0.7788151502609253
26,14,0.7688018679618835
26,15,0.7802624702453613
26,16,0.7803683876991272
26,17,0.7923368215560913
26,18,0.8033775091171265
26,19,0.8015522956848145
26,20,0.8133636713027954
26,21,0.8071511387825012
26,22,0.8070046901702881
26,23,0.7928769588470459
26,24,0.7840241193771362
26,25,0.7956634163856506
26,26,0.7986636757850647
26,27,0.8067201375961304
26,28,0.7115494012832642
27,0,0.6269810199737549
27,1,0.61286461353302
27,2,0.6130515933036804
27,3,0.7071270942687988
27,4,0.705173671245575
27,5,0.7338648438453674
27,6,0.7389765977859497
27,7,0.7324194312095642
27,8,0.7279847860336304
27,9,0.7325984835624695
27,10,0.7378320693969727
27,11,0.7441303730010986
27,12,0.751822292804718
27,13,0.764718770980835
27,14,0.7537581920623779
27,15,0.7660641074180603
27,16,0.7648490071296692
27,17,0.7746087312698364
27,18,0.785161554813385
27,19,0.7831127047538757
27,20,0.7905014753341675
27,21,0.7799999713897705
27,22,0.7799360156059265
27,23,0.7632925510406494
27,24,0.7536231875419617
27,25,0.7674859166145325
27,26,0.7713523507118225
27,27,0.7855669260025024
27,28,0.702095091342926
28,0,0.4955222010612488
